type,Name
1,Almond
2,American ash
3,American aspen
4,American elm
5,Cedar of Lebanon
6,Chestnut-leaf oak
7,Cluster pine
8,Cork oak
9,Douglas-fir
10,Downy oak
11,European alder
12,European aspen
13,European larch
14,European white birch
15,Goldenrain-tree
16,Grey-hair acacia
17,Jack pine
18,Japanese cherry
19,Jerusalem pine
20,Mazzard cherry
21,Nogal morado
22,Northern red oak
23,Patagonian oak
24,Pedunculate oak
25,Ponderosa pine
26,Rauli
27,Red pine
28,Rum cherry
29,Scotch pine
30,Siberian elm
31,Silverleaf poplar
32,Soft maple
33,Sugar hackberry
34,Three-thorn-acacia
35,Tick tree
36,Umbrella pine
37,Weymouth pine
38,White birch
